Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,counter,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,1,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,None,None
2023-04-01,2023,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Bruce Oxenford,Yeshwant Barde,Jayaraman Madanagopal,Pranav Joshi,Manu Nayyar,2,Rishi Dhawan,Bhanuka Rajapaksa,Venkatesh Iyer,Varun Chakravarthy,Punjab Kings,Kolkata Knight Riders,None,None
2023-04-01,2023,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,Delhi Capitals,Mark Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Madanagopal Kuppuraj,Daniel Manohar,3,Aman Hakim Khan,Khaleel Ahmed,Krishnappa Gowtham,Ayush Badoni,Delhi Capitals,Lucknow Super Giants,None,None
2023-04-02,2023,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Abhijit Bhattacharya,Narayanan Kutty,4,Abdul Samad,Fazalhaq Farooqi,Navdeep Saini,Yashasvi Jaiswal,Sunrisers Hyderabad,Rajasthan Royals,None,None
2023-04-02,2023,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Mumbai Indians,Faf du Plessis,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,Tapan Sharma,Virender Sharma,Abhijit Bengeri,Javagal Srinath,5,Jason Behrendorff,Suryakumar Yadav,None,None,Mumbai Indians,None,Arshad  Khan,Nehal  Wadhera
2023-04-03,2023,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Chennai Super Kings,Lucknow Super Giants,Moeen Ali,"MA Chidambaram Stadium, Chepauk, Chennai",Akshay Totre,Bruce Oxenford,Ulhas Gandhe,Pranav Joshi,Manu Nayyar,6,Ayush Badoni,Avesh Khan,Tushar Deshpande,Ambati Rayudu,Lucknow Super Giants,Chennai Super Kings,None,None
2023-04-04,2023,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,Gujarat Titans,Delhi Capitals,Sai Sudharsan,"Arun Jaitley Stadium, Delhi",Nand Kishore,Sadashiv Iyer,Anil Chaudhary,Madanagopal Kuppuraj,Daniel Manohar,7,Khaleel Ahmed,Sarfaraz Khan,Vijay Shankar,Josh Little,Delhi Capitals,Gujarat Titans,None,None
2023-04-05,2023,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,Rajasthan Royals,Nathan Ellis,"Barsapara Cricket Stadium, Guwahati",KN Ananthapadmanabhan,Saidharshan Kumar,Rohan Pandit,Abhijit Bhattacharya,Narayanan Kutty,8,Dhruv Jurel,Yuzvendra Chahal,Rishi Dhawan,Prabhsimran Singh,Rajasthan Royals,Punjab Kings,None,None
2023-04-06,2023,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,Royal Challengers Bangalore,Shardul Thakur,"Eden Gardens, Kolkata",Vinod Seshan,Virender Sharma,Nitin Menon,Abhijit Bengeri,Shakti Singh,9,Anuj Rawat,Mohammed Siraj,Suyash Sharma,Venkatesh Iyer,Royal Challengers Bangalore,Kolkata Knight Riders,Suyash  Sharma,None
2023-04-07,2023,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,Sunrisers Hyderabad,Krunal Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Jayaraman Madanagopal,Yeshwant Barde,Bruce Oxenford,Pranav Joshi,Manu Nayyar,10,Ayush Badoni,Amit Mishra,Fazalhaq Farooqi,Rahul Tripathi,Lucknow Super Giants,Sunrisers Hyderabad,None,None
