batting,out,runs,balls,mins,fours,sixs,SR,counter,bat_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Devon Conway,b Mohammed Shami,1,6,0,0,0,16.66,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Ruturaj Gaikwad,c Shubman Gill b Joseph,92,50,0,4,9,184.0,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Moeen Ali,c †Saha b Rashid Khan,23,17,0,4,1,135.29,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Ben Stokes,c †Saha b Rashid Khan,7,6,0,1,0,116.66,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Ambati Rayudu,b Little,12,12,0,0,1,100.0,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Shivam Dube,c Rashid Khan b Mohammed Shami,19,18,0,0,1,105.55,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Ravindra Jadeja,c Shankar b Joseph,1,2,0,0,0,50.0,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
MS Dhoni (c)†,not out,14,7,0,1,1,200.0,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Mitchell Santner,not out,1,3,0,0,0,33.33,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Wriddhiman Saha †,c Dube b Hangargekar,25,16,0,2,2,156.25,1,Gujarat Titans,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Shubman Gill,c Gaikwad b Deshpande,63,36,0,6,3,175.0,1,Gujarat Titans,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
