BOWLING,over,Mins,Runs,Wicket,Economy,Zeros,fours,sixs,Wide,Noball,counter,bowl_team,Date,Season,Toss_team,First_innings,second_innings,bat_field,Team1_Won,Team2_lost,Player Of The Match,Stadium,Umpires1,Umpires2,TV_Umpire,Res_Umpire,Match_Ref,ImpactPlayers1,Replace1Player1,ImpactPlayers2,ReplacePlayer2,impactTeam1,impactTeam2,T20_debut_1,T20_debut_2
Mohammed Shami,4.0,0,29.0,2,7.25,13,2,2,0,1,1,Gujarat Titans,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Hardik Pandya,3.0,0,28.0,0,9.33,6,2,2,0,0,1,Gujarat Titans,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Josh Little,4.0,0,41.0,1,10.25,10,4,3,0,0,1,Gujarat Titans,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Rashid Khan,4.0,0,26.0,2,6.5,10,2,1,0,0,1,Gujarat Titans,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Alzarri Joseph,4.0,0,33.0,2,8.25,8,0,3,0,0,1,Gujarat Titans,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Yash Dayal,1.0,0,14.0,0,14.0,2,0,2,0,0,1,Gujarat Titans,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Deepak Chahar,4.0,0,29.0,0,7.25,9,1,2,0,0,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Tushar Deshpande,3.2,0,51.0,1,15.3,5,4,4,1,1,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Rajvardhan Hangargekar,4.0,0,36.0,3,9.0,10,4,1,3,1,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
Mitchell Santner,4.0,0,32.0,0,8.0,7,5,0,0,0,1,Chennai Super Kings,2023-03-31,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Chennai Super Kings,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Saiyed Khalid,Virender Sharma,Abhijit Bengeri,Javagal Srinath,Sai Sudharsan,Kane Williamson,Tushar Deshpande,Ambati Rayudu,Gujarat Titans,Chennai Super Kings,,
